[2026-09-02T11:28:29.083Z] [LOG] [NestFactory] Starting Nest application...
[2026-09-02T11:28:29.092Z] [LOG] [InstanceLoader] DataModule dependencies initialized
[2026-09-02T11:28:29.093Z] [LOG] [InstanceLoader] AppModule dependencies initialized
[2026-09-02T11:28:29.093Z] [LOG] [InstanceLoader] UploadModule dependencies initialized
[2026-09-02T11:28:29.093Z] [LOG] [InstanceLoader] WorkflowModule dependencies initialized
[2026-09-02T11:28:29.094Z] [LOG] [InstanceLoader] TripRequestsModule dependencies initialized
[2026-09-02T11:28:29.094Z] [LOG] [InstanceLoader] AuthModule dependencies initialized
[2026-09-02T11:28:29.096Z] [LOG] [InstanceLoader] UsersModule dependencies initialized
[2026-09-02T11:28:29.096Z] [LOG] [InstanceLoader] GuidesModule dependencies initialized
[2026-09-02T11:28:29.096Z] [LOG] [InstanceLoader] VendorsModule dependencies initialized
[2026-09-02T11:28:29.101Z] [LOG] [InstanceLoader] TripsModule dependencies initialized
[2026-09-02T11:28:29.101Z] [LOG] [InstanceLoader] IssuesModule dependencies initialized
[2026-09-02T11:28:29.102Z] [LOG] [InstanceLoader] MessagesModule dependencies initialized
[2026-09-02T11:28:29.103Z] [LOG] [InstanceLoader] NotificationsModule dependencies initialized
[2026-09-02T11:28:29.216Z] [LOG] [RoutesResolver] AuthController {/auth}:
[2026-09-02T11:28:29.218Z] [LOG] [RouterExplorer] Mapped {/auth/register, POST} route
[2026-09-02T11:28:29.219Z] [LOG] [RouterExplorer] Mapped {/auth/login, POST} route
[2026-09-02T11:28:29.219Z] [LOG] [RoutesResolver] UsersController {/users}:
[2026-09-02T11:28:29.219Z] [LOG] [RouterExplorer] Mapped {/users, GET} route
[2026-09-02T11:28:29.220Z] [LOG] [RouterExplorer] Mapped {/users, POST} route
[2026-09-02T11:28:29.222Z] [LOG] [RouterExplorer] Mapped {/users/:id, GET} route
[2026-09-02T11:28:29.223Z] [LOG] [RouterExplorer] Mapped {/users/:id, PATCH} route
[2026-09-02T11:28:29.223Z] [LOG] [RouterExplorer] Mapped {/users/:id, DELETE} route
[2026-09-02T11:28:29.224Z] [LOG] [RoutesResolver] GuidesController {/guides}:
[2026-09-02T11:28:29.225Z] [LOG] [RouterExplorer] Mapped {/guides, GET} route
[2026-09-02T11:28:29.225Z] [LOG] [RouterExplorer] Mapped {/guides, POST} route
[2026-09-02T11:28:29.226Z] [LOG] [RouterExplorer] Mapped {/guides/:id, GET} route
[2026-09-02T11:28:29.226Z] [LOG] [RouterExplorer] Mapped {/guides/:id, PATCH} route
[2026-09-02T11:28:29.226Z] [LOG] [RouterExplorer] Mapped {/guides/:id, DELETE} route
[2026-09-02T11:28:29.226Z] [LOG] [RoutesResolver] VendorsController {/vendors}:
[2026-09-02T11:28:29.229Z] [LOG] [RouterExplorer] Mapped {/vendors, GET} route
[2026-09-02T11:28:29.230Z] [LOG] [RouterExplorer] Mapped {/vendors, POST} route
[2026-09-02T11:28:29.230Z] [LOG] [RouterExplorer] Mapped {/vendors/:id, GET} route
[2026-09-02T11:28:29.230Z] [LOG] [RouterExplorer] Mapped {/vendors/:id, PATCH} route
[2026-09-02T11:28:29.230Z] [LOG] [RouterExplorer] Mapped {/vendors/:id, DELETE} route
[2026-09-02T11:28:29.231Z] [LOG] [RoutesResolver] TripsController {/trips}:
[2026-09-02T11:28:29.231Z] [LOG] [RouterExplorer] Mapped {/trips, GET} route
[2026-09-02T11:28:29.231Z] [LOG] [RouterExplorer] Mapped {/trips, POST} route
[2026-09-02T11:28:29.231Z] [LOG] [RouterExplorer] Mapped {/trips/:id, GET} route
[2026-09-02T11:28:29.231Z] [LOG] [RouterExplorer] Mapped {/trips/:id, PATCH} route
[2026-09-02T11:28:29.232Z] [LOG] [RouterExplorer] Mapped {/trips/:id, DELETE} route
[2026-09-02T11:28:29.233Z] [LOG] [RouterExplorer] Mapped {/trips/:id/assign-guide, POST} route
[2026-09-02T11:28:29.233Z] [LOG] [RouterExplorer] Mapped {/trips/:id/guide/accept, POST} route
[2026-09-02T11:28:29.233Z] [LOG] [RouterExplorer] Mapped {/trips/:id/guide/reject, POST} route
[2026-09-02T11:28:29.233Z] [LOG] [RouterExplorer] Mapped {/trips/:id/assign-vendor, POST} route
[2026-09-02T11:28:29.233Z] [LOG] [RouterExplorer] Mapped {/trips/:id/vendor/accept, POST} route
[2026-09-02T11:28:29.234Z] [LOG] [RouterExplorer] Mapped {/trips/:id/vendor/reject, POST} route
[2026-09-02T11:28:29.234Z] [LOG] [RouterExplorer] Mapped {/trips/:id/start, POST} route
[2026-09-02T11:28:29.234Z] [LOG] [RouterExplorer] Mapped {/trips/:id/schedule, GET} route
[2026-09-02T11:28:29.234Z] [LOG] [RouterExplorer] Mapped {/trips/:id/schedule/:scheduleItemId, PATCH} route
[2026-09-02T11:28:29.235Z] [LOG] [RouterExplorer] Mapped {/trips/:id/guide-updates, POST} route
[2026-09-02T11:28:29.236Z] [LOG] [RouterExplorer] Mapped {/trips/:id/vendor-updates, POST} route
[2026-09-02T11:28:29.236Z] [LOG] [RouterExplorer] Mapped {/trips/:id/updates, GET} route
