[2026-08-25T15:02:09.651Z] [LOG] [NestFactory] Starting Nest application...
[2026-08-25T15:02:09.662Z] [LOG] [InstanceLoader] DataModule dependencies initialized
[2026-08-25T15:02:09.663Z] [LOG] [InstanceLoader] AppModule dependencies initialized
[2026-08-25T15:02:09.663Z] [LOG] [InstanceLoader] UploadModule dependencies initialized
[2026-08-25T15:02:09.664Z] [LOG] [InstanceLoader] WorkflowModule dependencies initialized
[2026-08-25T15:02:09.665Z] [LOG] [InstanceLoader] TripRequestsModule dependencies initialized
[2026-08-25T15:02:09.666Z] [LOG] [InstanceLoader] AuthModule dependencies initialized
[2026-08-25T15:02:09.666Z] [LOG] [InstanceLoader] UsersModule dependencies initialized
[2026-08-25T15:02:09.667Z] [LOG] [InstanceLoader] GuidesModule dependencies initialized
[2026-08-25T15:02:09.668Z] [LOG] [InstanceLoader] VendorsModule dependencies initialized
[2026-08-25T15:02:09.669Z] [LOG] [InstanceLoader] TripsModule dependencies initialized
[2026-08-25T15:02:09.670Z] [LOG] [InstanceLoader] IssuesModule dependencies initialized
[2026-08-25T15:02:09.671Z] [LOG] [InstanceLoader] MessagesModule dependencies initialized
[2026-08-25T15:02:09.672Z] [LOG] [InstanceLoader] NotificationsModule dependencies initialized
[2026-08-25T15:02:09.765Z] [LOG] [RoutesResolver] AuthController {/auth}:
[2026-08-25T15:02:09.771Z] [LOG] [RouterExplorer] Mapped {/auth/register, POST} route
[2026-08-25T15:02:09.772Z] [LOG] [RouterExplorer] Mapped {/auth/login, POST} route
[2026-08-25T15:02:09.773Z] [LOG] [RoutesResolver] UsersController {/users}:
[2026-08-25T15:02:09.776Z] [LOG] [RouterExplorer] Mapped {/users, GET} route
[2026-08-25T15:02:09.778Z] [LOG] [RouterExplorer] Mapped {/users, POST} route
[2026-08-25T15:02:09.781Z] [LOG] [RouterExplorer] Mapped {/users/:id, GET} route
[2026-08-25T15:02:09.783Z] [LOG] [RouterExplorer] Mapped {/users/:id, PATCH} route
[2026-08-25T15:02:09.786Z] [LOG] [RouterExplorer] Mapped {/users/:id, DELETE} route
[2026-08-25T15:02:09.788Z] [LOG] [RoutesResolver] GuidesController {/guides}:
[2026-08-25T15:02:09.789Z] [LOG] [RouterExplorer] Mapped {/guides, GET} route
[2026-08-25T15:02:09.790Z] [LOG] [RouterExplorer] Mapped {/guides, POST} route
[2026-08-25T15:02:09.792Z] [LOG] [RouterExplorer] Mapped {/guides/:id, GET} route
[2026-08-25T15:02:09.795Z] [LOG] [RouterExplorer] Mapped {/guides/:id, PATCH} route
[2026-08-25T15:02:09.797Z] [LOG] [RouterExplorer] Mapped {/guides/:id, DELETE} route
[2026-08-25T15:02:09.798Z] [LOG] [RoutesResolver] VendorsController {/vendors}:
[2026-08-25T15:02:09.800Z] [LOG] [RouterExplorer] Mapped {/vendors, GET} route
[2026-08-25T15:02:09.802Z] [LOG] [RouterExplorer] Mapped {/vendors, POST} route
[2026-08-25T15:02:09.804Z] [LOG] [RouterExplorer] Mapped {/vendors/:id, GET} route
[2026-08-25T15:02:09.807Z] [LOG] [RouterExplorer] Mapped {/vendors/:id, PATCH} route
[2026-08-25T15:02:09.809Z] [LOG] [RouterExplorer] Mapped {/vendors/:id, DELETE} route
